,Abanca,Santander ,Sabadell,BBVA,Bankinter,CaixaBank,EVO Banco,N26,Openbank
12/5/2021,6,58,28,41,11,7,2,1,4
12/12/2021,8,71,38,49,13,7,3,1,4
12/19/2021,8,65,33,47,12,6,3,1,4
12/26/2021,9,68,36,47,12,6,3,1,5
1/2/2022,8,61,31,46,11,6,3,1,5
1/9/2022,8,66,34,46,12,8,3,1,5
1/16/2022,7,61,33,43,11,9,3,1,5
1/23/2022,7,64,31,47,11,41,2,1,5
1/30/2022,9,79,39,56,13,33,3,1,6
2/6/2022,8,69,33,48,11,9,3,1,5
2/13/2022,6,61,27,52,9,8,3,1,4
2/20/2022,7,62,28,44,11,11,3,1,4
2/27/2022,8,70,33,48,12,14,3,1,5
3/6/2022,7,64,29,45,10,12,3,1,4
3/13/2022,7,59,28,41,10,10,3,1,5
3/20/2022,6,58,28,41,10,10,3,1,4
3/27/2022,7,67,33,48,11,11,3,1,5
4/3/2022,7,64,34,51,12,11,3,1,5
4/10/2022,6,48,23,35,7,9,2,1,3
4/17/2022,7,58,26,42,10,10,3,1,5
4/24/2022,7,64,31,45,11,10,3,1,5
5/1/2022,8,63,33,48,11,10,4,1,5
5/8/2022,7,63,30,45,10,11,4,1,4
5/15/2022,7,59,28,41,10,10,3,1,4
5/22/2022,7,64,30,44,11,11,3,1,5
5/29/2022,8,70,35,50,12,12,4,1,5
6/5/2022,8,63,31,48,11,11,4,1,4
6/12/2022,8,64,31,46,11,11,3,1,4
6/19/2022,8,66,30,46,12,12,3,1,4
6/26/2022,10,76,40,56,13,11,4,1,6
7/3/2022,8,70,35,53,12,12,4,1,5
7/10/2022,8,64,34,47,12,12,3,1,5
7/17/2022,8,64,32,44,11,12,3,1,4
7/24/2022,8,67,35,50,11,11,3,1,5
7/31/2022,9,69,34,50,11,11,3,1,5
8/7/2022,7,60,26,39,9,9,3,1,4
8/14/2022,6,48,22,36,8,8,3,1,3
8/21/2022,7,57,27,39,9,8,3,1,4
8/28/2022,8,66,33,47,10,9,4,1,5
9/4/2022,7,59,29,45,10,10,3,1,5
9/11/2022,8,58,32,42,10,26,3,1,4
9/18/2022,7,61,31,43,9,39,3,1,4
9/25/2022,10,67,36,49,12,48,3,1,5
10/2/2022,8,66,32,48,11,51,4,1,5
10/9/2022,7,55,26,43,8,42,4,1,4
10/16/2022,7,59,29,43,9,45,4,1,4
10/23/2022,8,66,31,47,10,48,3,1,5
10/30/2022,8,64,29,49,10,52,3,1,5
11/6/2022,7,57,28,46,9,48,3,1,4
11/13/2022,7,57,29,41,9,42,3,1,4
11/20/2022,7,58,27,42,8,39,3,1,4
11/27/2022,8,62,33,49,11,45,3,1,5
12/4/2022,6,46,22,35,8,33,2,1,4
12/11/2022,7,56,28,43,10,42,3,1,4
12/18/2022,8,57,30,44,9,41,3,1,4
12/25/2022,8,61,30,46,10,40,3,1,5
1/1/2023,7,58,27,43,10,39,3,1,5
1/8/2023,7,63,32,48,10,45,3,1,5
1/15/2023,7,56,28,43,10,39,3,1,4
1/22/2023,7,61,31,44,10,47,3,1,5
1/29/2023,9,70,39,54,12,49,4,1,6
2/5/2023,7,63,29,47,10,40,3,1,5
2/12/2023,7,56,29,42,10,39,3,1,5
2/19/2023,6,56,28,43,10,37,3,1,5
2/26/2023,8,70,34,53,11,45,3,1,6
3/5/2023,7,64,29,46,10,42,3,1,4
3/12/2023,7,65,32,46,10,38,2,1,5
3/19/2023,7,62,30,46,10,37,2,1,4
3/26/2023,7,68,34,50,12,43,3,1,6
4/2/2023,7,57,28,43,10,38,3,1,5
4/9/2023,8,61,28,44,10,40,3,1,5
4/16/2023,7,60,29,50,11,38,3,1,5
4/23/2023,8,69,31,59,12,38,3,1,5
4/30/2023,7,66,29,65,11,39,3,1,5
5/7/2023,7,61,30,51,10,37,3,1,5
5/14/2023,6,54,25,48,10,36,2,2,4
5/21/2023,6,55,26,58,10,34,2,1,4
5/28/2023,7,63,29,55,11,39,3,1,5
6/4/2023,7,60,26,51,10,35,3,1,5
6/11/2023,7,60,28,46,11,36,2,1,5
6/18/2023,7,61,31,46,11,38,3,1,5
6/25/2023,8,70,32,49,12,42,3,2,5
7/2/2023,8,69,32,52,12,41,3,2,6
7/9/2023,7,62,28,44,11,35,3,1,4
7/16/2023,7,60,33,43,13,39,3,2,4
7/23/2023,7,62,29,46,11,36,3,2,5
7/30/2023,8,66,30,49,12,43,3,2,5
8/6/2023,7,54,23,47,9,32,2,2,4
8/13/2023,5,44,18,49,8,27,2,2,3
8/20/2023,6,48,21,49,9,29,2,1,4
8/27/2023,8,56,26,61,10,36,3,2,5
9/3/2023,7,58,26,49,10,36,3,2,5
9/10/2023,6,54,23,48,10,33,2,1,4
9/17/2023,7,53,24,55,9,35,3,2,4
9/24/2023,7,60,27,75,10,38,3,2,5
10/1/2023,8,68,28,66,12,41,4,2,5
10/8/2023,7,51,22,48,9,30,3,2,4
10/15/2023,7,55,25,48,10,34,2,1,4
10/22/2023,6,58,25,56,10,35,3,1,4
10/29/2023,7,61,28,62,11,38,3,1,5
11/5/2023,7,59,27,61,10,37,3,1,4
11/12/2023,6,54,25,51,10,35,3,1,3
11/19/2023,6,60,26,50,10,38,3,1,4
11/26/2023,8,66,29,52,11,45,3,2,3
12/3/2023,6,51,22,41,9,35,2,2,2
12/10/2023,7,71,28,44,11,39,3,1,4
12/17/2023,7,75,28,47,11,44,3,1,5
12/24/2023,8,54,26,44,11,41,3,1,5
12/31/2023,7,63,25,43,11,39,3,2,5
