bank,date
abanca,2021-01-01
abanca,2021-02-01
abanca,2021-03-01
abanca,2021-04-01
abanca,2021-05-01
abanca,2021-06-01
abanca,2021-07-01
abanca,2021-08-01
abanca,2021-09-01
abanca,2021-10-01
abanca,2021-11-01
abanca,2021-12-01
abanca,2022-01-01
abanca,2022-02-01
abanca,2022-03-01
abanca,2022-04-01
abanca,2022-05-01
abanca,2022-06-01
abanca,2022-07-01
abanca,2022-08-01
abanca,2022-09-01
abanca,2022-10-01
abanca,2022-11-01
abanca,2022-12-01
abanca,2023-01-01
abanca,2023-02-01
abanca,2023-03-01
abanca,2023-04-01
abanca,2023-05-01
abanca,2023-06-01
abanca,2023-07-01
abanca,2023-08-01
abanca,2023-09-01
abanca,2023-10-01
abanca,2023-11-01
abanca,2023-12-01
banc sabadell,2021-01-01
banc sabadell,2021-02-01
banc sabadell,2021-03-01
banc sabadell,2021-04-01
banc sabadell,2021-05-01
banc sabadell,2021-06-01
banc sabadell,2021-07-01
banc sabadell,2021-08-01
banc sabadell,2021-09-01
banc sabadell,2021-10-01
banc sabadell,2021-11-01
banc sabadell,2021-12-01
banc sabadell,2022-01-01
banc sabadell,2022-02-01
banc sabadell,2022-03-01
banc sabadell,2022-04-01
banc sabadell,2022-05-01
banc sabadell,2022-06-01
banc sabadell,2022-07-01
banc sabadell,2022-08-01
banc sabadell,2022-09-01
banc sabadell,2022-10-01
banc sabadell,2022-11-01
banc sabadell,2022-12-01
banc sabadell,2023-01-01
banc sabadell,2023-02-01
banc sabadell,2023-03-01
banc sabadell,2023-04-01
banc sabadell,2023-05-01
banc sabadell,2023-06-01
banc sabadell,2023-07-01
banc sabadell,2023-08-01
banc sabadell,2023-09-01
banc sabadell,2023-10-01
banc sabadell,2023-11-01
banc sabadell,2023-12-01
bankinter,2021-01-01
bankinter,2021-02-01
bankinter,2021-03-01
bankinter,2021-04-01
bankinter,2021-05-01
bankinter,2021-06-01
bankinter,2021-07-01
bankinter,2021-08-01
bankinter,2021-09-01
bankinter,2021-10-01
bankinter,2021-11-01
bankinter,2021-12-01
bankinter,2022-01-01
bankinter,2022-02-01
bankinter,2022-03-01
bankinter,2022-04-01
bankinter,2022-05-01
bankinter,2022-06-01
bankinter,2022-07-01
bankinter,2022-08-01
bankinter,2022-09-01
bankinter,2022-10-01
bankinter,2022-11-01
bankinter,2022-12-01
bankinter,2023-01-01
bankinter,2023-02-01
bankinter,2023-03-01
bankinter,2023-04-01
bankinter,2023-05-01
bankinter,2023-06-01
bankinter,2023-07-01
bankinter,2023-08-01
bankinter,2023-09-01
bankinter,2023-10-01
bankinter,2023-11-01
bankinter,2023-12-01
bbva,2021-01-01
bbva,2021-02-01
bbva,2021-03-01
bbva,2021-04-01
bbva,2021-05-01
bbva,2021-06-01
bbva,2021-07-01
bbva,2021-08-01
bbva,2021-09-01
bbva,2021-10-01
bbva,2021-11-01
bbva,2021-12-01
bbva,2022-01-01
bbva,2022-02-01
bbva,2022-03-01
bbva,2022-04-01
bbva,2022-05-01
bbva,2022-06-01
bbva,2022-07-01
bbva,2022-08-01
bbva,2022-09-01
bbva,2022-10-01
bbva,2022-11-01
bbva,2022-12-01
bbva,2023-01-01
bbva,2023-02-01
bbva,2023-03-01
bbva,2023-04-01
bbva,2023-05-01
bbva,2023-06-01
bbva,2023-07-01
bbva,2023-08-01
bbva,2023-09-01
bbva,2023-10-01
bbva,2023-11-01
bbva,2023-12-01
revolut,2021-01-01
revolut,2021-02-01
revolut,2021-03-01
revolut,2021-04-01
revolut,2021-05-01
revolut,2021-06-01
revolut,2021-07-01
revolut,2021-08-01
revolut,2021-09-01
revolut,2021-10-01
revolut,2021-11-01
revolut,2021-12-01
revolut,2022-01-01
revolut,2022-02-01
revolut,2022-03-01
revolut,2022-04-01
revolut,2022-05-01
revolut,2022-06-01
revolut,2022-07-01
revolut,2022-08-01
revolut,2022-09-01
revolut,2022-10-01
revolut,2022-11-01
revolut,2022-12-01
revolut,2023-01-01
revolut,2023-02-01
revolut,2023-03-01
revolut,2023-04-01
revolut,2023-05-01
revolut,2023-06-01
revolut,2023-07-01
revolut,2023-08-01
revolut,2023-09-01
revolut,2023-10-01
revolut,2023-11-01
revolut,2023-12-01
santander,2021-01-01
santander,2021-02-01
santander,2021-03-01
santander,2021-04-01
santander,2021-05-01
santander,2021-06-01
santander,2021-07-01
santander,2021-08-01
santander,2021-09-01
santander,2021-10-01
santander,2021-11-01
santander,2021-12-01
santander,2022-01-01
santander,2022-02-01
santander,2022-03-01
santander,2022-04-01
santander,2022-05-01
santander,2022-06-01
santander,2022-07-01
santander,2022-08-01
santander,2022-09-01
santander,2022-10-01
santander,2022-11-01
santander,2022-12-01
santander,2023-01-01
santander,2023-02-01
santander,2023-03-01
santander,2023-04-01
santander,2023-05-01
santander,2023-06-01
santander,2023-07-01
santander,2023-08-01
santander,2023-09-01
santander,2023-10-01
santander,2023-11-01
santander,2023-12-01
